City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,yeppoon,-23.1333,150.7333,21.88,87,100,2.92,AU,1701019484
278,kili,5.6439,169.1211,28.2,81,88,8.47,MH,1701019484
279,antigonish,45.6169,-61.9986,2.93,74,100,2.24,CA,1701019484
280,bagan,54.1001,77.6646,0.13,97,100,0.86,RU,1701019485
281,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1701019312
282,shimoda,34.6667,138.95,8.95,71,0,1.32,JP,1701019485
283,hermsdorf,50.9,11.8667,1.51,93,99,1.79,DE,1701019486
284,gornopravdinsk,60.05,69.9,-7.94,98,94,1.23,RU,1701019486
285,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,5.14,EC,1701019360
286,qarauyl,48.9451,79.255,-0.8,74,40,2.4,KZ,1701019227
287,mar del plata,-38.0023,-57.5575,33.79,35,0,7.2,AR,1701019205
288,gebeit,21.0667,36.3167,27.19,50,90,3.05,SD,1701019487
289,bubaque,11.2833,-15.8333,27.42,60,1,2.93,GW,1701019371
290,smidovich,48.6,133.8167,-21.04,93,6,4.04,RU,1701019487
291,kasongo-lunda,-6.4667,16.8167,22.85,91,83,0.77,CD,1701019488
292,cold lake,54.4502,-110.2017,-6.03,93,100,0.0,CA,1701019065
293,narvik,68.4384,17.4272,-4.33,87,64,2.79,NO,1701019488
294,hornell,42.3279,-77.6611,7.99,59,91,3.58,US,1701019488
295,lebu,-37.6167,-73.65,16.71,66,66,7.23,CL,1701019342
296,kingscliff,-28.2667,153.5667,19.89,88,40,3.09,AU,1701019322
297,vila franca do campo,37.7167,-25.4333,20.23,95,100,9.65,PT,1701019489
298,afaahiti,-17.75,-149.2833,25.93,81,96,8.47,PF,1701019354
299,haiku-pauwela,20.9219,-156.3051,23.91,76,20,3.6,US,1701019327
300,kangding,30.0513,101.9603,3.85,37,0,3.88,CN,1701019489
301,kargasok,59.0556,80.8572,-9.46,84,90,4.02,RU,1701019296
302,brigantine,39.4101,-74.3646,12.3,85,100,5.14,US,1701019490
303,zgurovka,50.5028,31.7849,-0.64,96,100,12.0,UA,1701019490
304,zyryanovsk,49.7386,84.2719,-11.57,97,31,0.75,KZ,1701019490
305,scottburgh,-30.2867,30.7532,22.82,93,79,2.58,ZA,1701019490
306,franklin,39.9667,-83.0166,8.26,83,100,4.63,US,1701019053
307,phayao,19.25,100.25,18.71,91,7,0.39,TH,1701019491
308,cabinda,-5.55,12.2,29.08,79,95,4.12,AO,1701019491
309,el abiodh sidi cheikh,32.893,0.5484,13.68,21,34,2.85,DZ,1701019491
310,borinskoye,52.4569,39.3713,0.2,100,100,4.19,RU,1701019492
311,zwedru,6.0667,-8.1281,28.41,67,64,2.05,LR,1701019492
312,jijiga,9.35,42.8,16.99,58,20,4.55,ET,1701019492
313,hithadhoo,-0.6,73.0833,28.09,73,36,1.95,MV,1701019300
314,usinsk,65.9939,57.5281,-17.18,99,95,3.13,RU,1701019493
315,barra,-11.0894,-43.1417,33.43,35,11,1.96,BR,1701019493
316,banda aceh,5.5577,95.3222,24.67,91,100,2.2,ID,1701019493
317,pangody,65.85,74.4859,-12.74,95,100,3.52,RU,1701019493
318,new norfolk,-42.7826,147.0587,9.72,96,87,1.25,AU,1701019315
319,kodinsk,58.6881,99.1844,-23.05,99,11,0.77,RU,1701019494
320,severo-yeniseyskiy,60.3725,93.0408,-28.14,98,10,1.3,RU,1701019363
321,guajara mirim,-10.7828,-65.3394,30.09,70,40,2.57,BR,1701019228
322,al kharijah,25.4514,30.5464,21.26,20,100,4.1,EG,1701019494
323,liwa,24.5361,56.5656,23.01,60,36,0.0,OM,1701019495
324,ambert,45.55,3.75,-0.95,82,68,0.66,FR,1701019495
325,dazhou,31.2159,107.5009,12.51,73,0,1.89,CN,1701019340
326,bac lieu,9.285,105.7244,26.15,84,100,7.09,VN,1701019495
327,jasper,37.2001,-94.3502,1.7,74,40,6.69,US,1701019496
328,bolobo,-2.1667,16.2333,24.32,83,86,1.44,CD,1701019496
329,kalawit,8.0667,122.5167,25.68,88,26,3.16,PH,1701019496
330,leribe,-28.8718,28.045,26.96,28,26,1.59,LS,1701019496
331,egilsstadir,65.2653,-14.3948,-5.05,100,100,1.54,IS,1701019332
332,midvagur,62.0511,-7.1939,4.46,81,54,4.12,FO,1701019497
333,independence,39.0911,-94.4155,0.4,72,0,4.63,US,1701019497
334,smithers,54.7804,-127.1743,-1.82,100,100,3.09,CA,1701019497
335,antonio enes,-16.2325,39.9086,27.25,81,35,3.36,MZ,1701019497
336,broken hill,-31.95,141.4333,19.1,51,4,6.48,AU,1701019497
337,khorugh,37.4897,71.553,4.96,46,100,1.51,TJ,1701019498
338,ghanzi,-21.5667,21.7833,33.18,19,24,4.07,BW,1701019498
339,kununurra,-15.7667,128.7333,23.99,83,99,4.12,AU,1701019498
340,santos reyes nopala,16.1092,-97.1561,25.65,51,4,1.83,MX,1701019498
341,westport,41.1415,-73.3579,10.18,72,100,4.12,US,1701019385
342,darnah,32.767,22.6367,16.14,52,96,10.9,LY,1701019499
343,bei'an,24.5399,109.533,16.28,79,2,1.89,CN,1701019499
344,barra de santo antonio,-9.4047,-35.5072,30.6,51,42,4.23,BR,1701019499
345,nikolayevsk-on-amure,53.1406,140.73,-15.8,65,47,5.48,RU,1701019500
346,lido di jesolo,45.5069,12.6469,6.74,54,3,3.73,IT,1701019500
347,oyem,1.5995,11.5793,22.04,93,95,0.76,GA,1701019500
348,bousso,10.4795,16.7117,32.79,20,98,2.25,TD,1701019500
349,ujae,8.9322,165.7642,28.12,79,99,8.72,MH,1701019288
350,ebetsu,43.1081,141.5506,-0.49,70,91,2.02,JP,1701019501
351,keren,15.7778,38.4581,21.88,60,30,3.22,ER,1701019501
352,shimanovsk,52.0,127.7,-17.44,75,7,3.37,RU,1701019501
353,yichang,30.7144,111.2847,11.28,83,0,1.18,CN,1701019502
354,tapiramuta,-11.8472,-40.7914,25.06,59,91,3.55,BR,1701019503
355,veglie,40.3351,17.9652,7.75,100,20,2.57,IT,1701019503
356,tralee,52.2704,-9.7026,10.14,100,100,3.6,IE,1701019270
357,cidreira,-30.1811,-50.2056,22.59,73,66,7.33,BR,1701019504
358,jiayuguan,39.8167,98.3,2.18,29,69,2.37,CN,1701019504
359,la passe,45.5549,-0.8967,6.13,67,100,2.1,FR,1701019302
360,hadibu,12.65,54.0333,26.51,71,22,5.63,YE,1701019362
361,queenstown,-31.8976,26.8753,22.84,71,35,5.1,ZA,1701019259
362,shuangjiang,26.1547,109.7138,10.54,95,1,1.13,CN,1701019505
